name,aliases,serving_unit,serving_grams,calories,protein_g,carbs_g,fat_g,source,source_id
Butter,,100 g,100,717,0.85,0.06,81.1,USDA FoodData Central (SR Legacy),173410
Olive oil,,100 g,100,884,0,0,100,USDA FoodData Central (SR Legacy),171413
Coconut oil,,100 g,100,892,0,0,99.1,USDA FoodData Central (SR Legacy),171412
Vegetable oil (soybean),vegetable oil;soybean oil,100 g,100,884,0,0,100,USDA FoodData Central (SR Legacy),172370
Peanut butter,,100 g,100,589,24.1,21.6,49.9,USDA FoodData Central (SR Legacy),174265
Peanuts,peanut,100 g,100,570,26.2,15.8,49.6,USDA FoodData Central (SR Legacy),174263
Black beans,,100 g,100,341,21.6,62.4,1.42,USDA FoodData Central (SR Legacy),173734
Pinto beans,,100 g,100,114,6.99,20.2,0.9,USDA FoodData Central (SR Legacy),174286
Chickpeas,garbanzo beans,100 g,100,378,20.5,63,6.04,USDA FoodData Central (SR Legacy),173756
Lentils,lentil,100 g,100,352,24.6,63.4,1.06,USDA FoodData Central (SR Legacy),172420
"Tofu, fried",fried tofu,100 g,100,270,18.8,8.86,20.2,USDA FoodData Central (SR Legacy),172451
Granulated sugar,sugar;white sugar,100 g,100,387,0,100,0,USDA FoodData Central (SR Legacy),169655
Milk chocolate,chocolate,100 g,100,535,7.65,59.4,29.7,USDA FoodData Central (SR Legacy),167587
Dark chocolate,dark chocolate bar,100 g,100,579,6.12,52.4,38.3,USDA FoodData Central (SR Legacy),170272
Orange juice,oj,100 g,100,47,0.68,11,0.15,USDA FoodData Central (SR Legacy),169099
"Sweet potato, baked",sweet potato;baked sweet potato,100 g,100,90,2.01,20.7,0.15,USDA FoodData Central (SR Legacy),168483
"Lettuce, romaine",romaine lettuce;lettuce,100 g,100,17,1.23,3.29,0.3,USDA FoodData Central (SR Legacy),169247
"Lettuce, iceberg",iceberg lettuce,100 g,100,14,0.9,2.97,0.14,USDA FoodData Central (SR Legacy),169248
"Bell pepper, red",red bell pepper;red pepper;bell pepper,100 g,100,26,0.99,6.03,0.3,USDA FoodData Central (SR Legacy),170108
Green beans,snap beans;string beans,100 g,100,31,1.83,6.97,0.22,USDA FoodData Central (SR Legacy),169961
Walnuts,walnut,100 g,100,654,15.2,13.7,65.2,USDA FoodData Central (SR Legacy),170187
"Cashews, raw",cashew;cashews,100 g,100,553,18.2,30.2,43.8,USDA FoodData Central (SR Legacy),170162
Almonds,almond,100 g,100,579,21.2,21.6,49.9,USDA FoodData Central (SR Legacy),170567
Chia seeds,chia,100 g,100,486,16.5,42.1,30.7,USDA FoodData Central (SR Legacy),170554
Flaxseed,flax seeds;flax,100 g,100,534,18.3,28.9,42.2,USDA FoodData Central (SR Legacy),169414
Hummus,,100 g,100,237,7.78,15,17.8,USDA FoodData Central (SR Legacy),174289
Honey,,100 g,100,304,0.3,82.4,0,USDA FoodData Central (SR Legacy),169640
"Green tea, brewed",tea;green tea,100 g,100,1,0.22,0,0,USDA FoodData Central (SR Legacy),171917
